team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Bahrain National Team,Bahrain,2025,Bahrain,4,3,1,0,2,2,0,0,0,0,2,1,1,1.5,2,0,3,0,0,9,6,8,-2,14,11,3,5,1,6,2,-1,-1,60,54,90,45,45,45,1,1,0,3,2,1,0,0,0,2,2,0,18,12,6,7,4,3,52,50,57,44,33,11,13,12,1,31,21,10,45,28,17,3,3,0,5,3,2,-2,0,-2,2,2,0,0,0,0,2,1,1,1.5,2,0,3.5,3.67,3,1.5,1.67,1,2,2,2,2,2,2,0.75,1,0,1.25,1,2,4,3,3,2,1,1,3,2,2,2,1,1,1,1,1,0,0,0,0,1,1,2,3,3,0,1,1,1,2,2,0,0,0,1,1,1,100,75,75,50,25,25,100,67,67,67,33,33,100,100,100,0,0,0,0,25,25,50,75,75,0,33,33,33,67,67,0,0,0,100,100,100,4,2,1,3,1,1,1,1,0,100,50,25,100,33,33,100,100,0,50,67,0,0,25,33,0,75,67,100,0,0,0,50,67,0,2,2,0,50,67,0,1,0,1,25,0,100,1,1,0,25,33,0,50,67,0,0,0,0,50,33,100,4.50,4.00,6.00,1.75,1.33,3.00,100,75,25,0,0,0,0,0,1.01,0.99,1.06,1.14,1.07,1.27,100,0,0,1,2,0,0,0,2,1,1,0,3,0,2,0,0,2,0,0,0,0,50,33,100,0
Syria National Team,Syria,2025,Syria,5,3,2,0,2,1,1,2,2,0,1,0,1,1.6,1.67,1.5,1,0,0,5,4,2,2,6,4,2,3,1,1,1,2,0,113,90,180,225,273,180,3,2,1,1,1,0,2,1,1,2,1,1,17,12,5,5,2,3,43,47,36,32,22,10,9,6,3,23,16,7,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,1,1,1,1.2,1.33,1,0.8,1,0.5,0.4,0.33,0.5,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,1,3,5,5,5,5,1,1,3,3,3,3,0,2,2,2,2,2,80,40,0,0,0,0,67,67,0,0,0,0,100,0,0,0,0,0,20,60,100,100,100,100,33,33,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,33,50,22,60,67,50,20,33,0,40,33,50,40,33,50,5,3,2,100,100,100,5,3,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.40,4.00,2.50,1,0.67,1.50,60,60,60,60,20,0,0,0,0.15,0.65,0.00,0.85,1.35,0.00,40,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,40,67,0,20,0,50,0
Palestine National Team,Palestine,2025,Palestine,5,3,2,0,1,0,1,3,2,1,1,1,0,1.2,0.67,2,2,0,0,6,4,4,0,8,7,1,3,1,4,0,-1,1,113,90,180,113,68,0,3,1,2,2,2,0,2,1,1,2,1,1,21,17,4,7,5,2,45,44,47,41,28,13,9,5,4,32,23,9,47,25,22,0,0,0,1,1,0,-1,-1,0,0,0,0,4,2,2,1,1,0,0.8,0.67,1,1.6,2.33,0.5,0.8,1,0.5,0.8,1.33,0,0.2,0.33,0,0,0,0,0.2,0.33,0,3,2,2,1,0,0,2,2,2,1,0,0,1,0,0,0,0,0,2,3,3,4,5,5,1,1,1,2,3,3,1,2,2,2,2,2,60,40,40,20,0,0,67,67,67,33,0,0,50,0,0,0,0,0,40,60,60,80,100,100,33,33,33,67,100,100,50,100,100,100,100,100,1,0,0,1,0,0,0,0,0,20,0,0,33,0,0,0,0,0,20,0,50,-21,60,33,100,40,67,0,40,33,50,40,33,50,4,2,2,80,67,100,5,3,2,100,100,100,0,0,0,0,0,0,0,0,0,80,67,100,20,33,0,4.20,5.67,2.00,1.4,1.67,1.00,80,80,60,40,40,0,0,0,0.94,1.23,0.80,1.06,1.43,0.88,20,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,60,67,50,20,33,0,0
Oman National Team,Oman,2025,Oman,4,3,1,0,1,1,0,2,2,0,1,0,1,1.25,1.67,0,3,0,0,10,3,3,0,6,3,3,2,1,1,2,1,-1,120,134,90,120,273,45,2,2,0,2,1,1,2,2,0,1,1,0,11,8,3,2,2,0,47,51,35,36,30,6,10,7,3,26,23,3,50,40,10,2,2,0,0,0,0,2,2,0,1,1,0,3,2,1,0,0,0,1.5,1.67,1,1.5,1,3,0.75,0.67,1,0.75,0.33,2,0.5,0.67,0,0.5,0.67,0,0,0,0,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,2,2,4,4,4,2,2,2,3,3,3,0,0,0,1,1,1,50,50,50,0,0,0,33,33,33,0,0,0,100,100,100,0,0,0,50,50,50,100,100,100,67,67,67,100,100,100,0,0,0,100,100,100,1,1,0,1,1,0,0,0,0,25,25,0,33,33,0,0,0,0,25,33,0,23,50,67,0,50,33,100,50,67,0,25,33,0,4,3,1,100,100,100,3,2,1,75,67,100,0,0,0,0,0,0,25,33,0,75,67,100,0,0,0,2.75,2.67,3.00,0.5,0.67,0.00,100,75,50,50,50,50,0,0,1.01,1.12,0.79,1.29,1.11,1.65,25,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,50,67,0,25,0,100,0
Lebanon National Team,Lebanon,2025,Lebanon,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,20,1,2,-1,3,3,0,1,0,2,0,-1,0,90,90,0,45,45,0,0,0,0,1,1,0,0,0,0,1,1,0,7,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,3,0,1,1,0,2,2,0,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,100,0,0,0,0,100,100,0,0,0,0,7.00,7.00,0.00,4,4,0.00,100,100,100,100,100,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,100,100,0,0
Yemen National Team,Yemen,2025,Yemen,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,17,4,4,0,8,8,0,4,0,4,0,0,0,23,23,0,23,23,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,3,3,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,3,3,0,8,8,0,4,4,0,4,4,0,4,4,0,3,3,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,100,0,100,100,0,0,0,0,0,0,0,2.00,2.00,0.00,2,2,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,200,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,2,100,100,0,0,0,0,0
Kuwait National Team,Kuwait,2025,Kuwait,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,4,0,0,13,5,7,-2,12,6,6,3,2,3,4,0,-2,72,60,90,51,60,45,1,1,0,3,1,2,0,0,0,2,1,1,11,3,8,9,1,8,47,54,40,17,3,14,11,6,5,6,-3,9,50,22,28,2,2,0,3,1,2,-1,1,-2,1,1,0,1,0,1,2,1,1,1,1.5,0.5,3,3,3,1.25,1.5,1,1.75,1.5,2,1.25,1.5,1,0.5,1,0,0.75,0.5,1,4,4,2,2,0,0,2,2,1,1,0,0,2,2,1,1,0,0,0,0,2,2,4,4,0,0,1,1,2,2,0,0,1,1,2,2,100,100,50,50,0,0,100,100,50,50,0,0,100,100,50,50,0,0,0,0,50,50,100,100,0,0,50,50,100,100,0,0,50,50,100,100,3,2,0,2,1,0,1,1,0,75,50,0,100,50,0,50,50,0,25,50,0,17,25,50,0,75,50,100,0,0,0,50,50,50,2,1,1,50,50,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,25,0,50,50,50,50,2.75,1.50,4.00,2.25,0.5,4.00,50,50,50,50,50,50,0,0,0.71,0.50,0.82,1.92,2.15,1.80,100,1,0,1,0,0,1,1,0,1,0,3,0,0,1,0,1,0,2,25,0,50,50,50,50,0
Libya National Team,Libya,2025,Libya,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,47,0,47,11,0,11,2,0,2,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,1.00,0.00,1.00,0,0,0.00,100,100,100,100,100,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0
Comoros National Team,Comoros,2025,Comoros,4,1,3,0,0,0,0,1,0,1,3,1,2,0.25,0,0.33,4,0,0,16,7,12,-5,19,4,15,1,6,3,9,-2,-3,51,90,45,30,30,30,0,0,0,4,1,3,0,0,0,0,0,0,14,1,13,5,2,3,64,33,79,26,6,20,8,2,6,18,4,14,30,13,17,1,0,1,9,1,8,-8,-1,-7,0,0,0,0,0,0,4,1,3,0,0,0,4.75,4,5,1.75,1,2,3,3,3,2.5,1,3,0.25,0,0.33,2.25,1,2.67,4,4,4,3,1,1,1,1,1,1,0,0,3,3,3,2,1,1,0,0,0,1,3,3,0,0,0,0,1,1,0,0,0,1,2,2,100,100,100,75,25,25,100,100,100,100,0,0,100,100,100,67,33,33,0,0,0,25,75,75,0,0,0,0,100,100,0,0,0,33,67,67,4,3,2,1,0,0,3,3,2,100,75,50,100,0,0,100,100,67,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,75,100,67,1,0,1,25,0,33,0,0,0,0,0,0,100,100,100,3.50,1.00,4.33,1.25,2,1.00,75,75,50,50,50,25,0,0,0.99,0.73,1.12,1.60,1.86,1.48,100,0,0,1,0,0,1,3,0,2,1,2,1,1,4,1,1,1,0,25,0,33,75,100,67,0
Mauritania National Team,Mauritania,2025,Mauritania,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,0,2,-2,2,0,2,0,0,0,2,0,-2,0,0,0,45,0,45,0,0,0,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,50,0,50,0,0,0,4,0,4,-4,0,-4,13,0,13,0,0,0,2,0,2,-2,0,-2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,1,1,0,0,0,0,1,1,0,100,100,0,0,0,0,100,100,0,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,4.00,0.00,4.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100,0,100,0
